sample_id,sample_cluster,task,anchor,future_step,global_generation_index,strategy,target_horizon,layer,head,attention_output_relative_error,delta_nll,approx_kl
gov_report:0,gov_report::gov_report:0,gov_report,0,26,25,attention_weighted_v_ridge_leverage,64,27,0,0.179713636636734,0.41722260530504585,0.04627980252309721
gov_report:0,gov_report::gov_report:0,gov_report,0,26,25,attention_weighted_v_ridge_leverage,64,27,11,0.3557290732860565,0.41722260530504585,0.04627980252309721
gov_report:0,gov_report::gov_report:0,gov_report,0,27,26,attention_weighted_v_ridge_leverage,64,0,0,0.16425634920597076,0.06031408364842861,0.012455517141501565
gov_report:0,gov_report::gov_report:0,gov_report,0,27,26,attention_weighted_v_ridge_leverage,64,0,11,0.049893442541360855,0.06031408364842861,0.012455517141501565
gov_report:0,gov_report::gov_report:0,gov_report,0,27,26,attention_weighted_v_ridge_leverage,64,14,0,0.6949405074119568,0.06031408364842861,0.012455517141501565
gov_report:0,gov_report::gov_report:0,gov_report,0,27,26,attention_weighted_v_ridge_leverage,64,14,11,0.5446937084197998,0.06031408364842861,0.012455517141501565
gov_report:0,gov_report::gov_report:0,gov_report,0,27,26,attention_weighted_v_ridge_leverage,64,27,0,0.07527317851781845,0.06031408364842861,0.012455517141501565
gov_report:0,gov_report::gov_report:0,gov_report,0,27,26,attention_weighted_v_ridge_leverage,64,27,11,0.4540950357913971,0.06031408364842861,0.012455517141501565
gov_report:0,gov_report::gov_report:0,gov_report,0,28,27,attention_weighted_v_ridge_leverage,64,0,0,0.13643746078014374,0.2754265526378532,0.15682888155552804
gov_report:0,gov_report::gov_report:0,gov_report,0,28,27,attention_weighted_v_ridge_leverage,64,0,11,0.03572670742869377,0.2754265526378532,0.15682888155552804
gov_report:0,gov_report::gov_report:0,gov_report,0,28,27,attention_weighted_v_ridge_leverage,64,14,0,0.7517572641372681,0.2754265526378532,0.15682888155552804
gov_report:0,gov_report::gov_report:0,gov_report,0,28,27,attention_weighted_v_ridge_leverage,64,14,11,0.6057855486869812,0.2754265526378532,0.15682888155552804
gov_report:0,gov_report::gov_report:0,gov_report,0,28,27,attention_weighted_v_ridge_leverage,64,27,0,0.0978865996003151,0.2754265526378532,0.15682888155552804
