sample_id,task,cycle,layer,head,shared_mass,own_mass,own_shared_overlap,gain
synthetic_niah_86,niah_single_1,0,18,2,0.9982865962891693,0.9986954896631034,0.8227272727272728,0.00040889337393412717
synthetic_niah_86,niah_single_1,0,18,3,0.9901255626486923,0.9908344756788744,0.8590909090909091,0.0007089130301820568
synthetic_niah_86,niah_single_1,0,18,4,0.9993197036604418,0.9995805182674727,0.7636363636363637,0.00026081460703097914
synthetic_niah_86,niah_single_1,0,18,5,0.9950097522864453,0.9962283648558661,0.8409090909090909,0.001218612569420796
synthetic_niah_86,niah_single_1,0,18,6,0.9991821838203605,0.9994531955018839,0.7818181818181819,0.00027101168152343647
synthetic_niah_86,niah_single_1,0,18,7,0.9948575104780361,0.9957053922027385,0.8590909090909091,0.000847881724702404
synthetic_niah_86,niah_single_1,0,19,0,0.9995501896289141,0.9997726134823456,0.7318181818181818,0.00022242385343151927
synthetic_niah_86,niah_single_1,0,19,1,0.9939352953005263,0.9948315167682005,0.740909090909091,0.0008962214676742075
synthetic_niah_86,niah_single_1,0,19,2,0.9975244997593812,0.998116745200802,0.7454545454545455,0.0005922454414207801
synthetic_niah_86,niah_single_1,0,19,3,0.9988336539676059,0.9992390633578716,0.7272727272727273,0.00040540939026567635
synthetic_niah_86,niah_single_1,0,19,4,0.9954303555539742,0.996729721059899,0.7227272727272728,0.0012993655059247988
synthetic_niah_86,niah_single_1,0,19,5,0.9878740624916772,0.9900965617650612,0.75,0.0022224992733840265
synthetic_niah_86,niah_single_1,0,19,6,0.9993436866478062,0.9997230971376828,0.6318181818181818,0.0003794104898766637
synthetic_niah_86,niah_single_1,0,19,7,0.9981733938067273,0.9989181137456282,0.7136363636363636,0.0007447199389009063
synthetic_niah_86,niah_single_1,0,20,0,0.99803728967404,0.9991798425621937,0.6409090909090909,0.0011425528881536806
synthetic_niah_86,niah_single_1,0,20,1,0.9883428962024169,0.9902176642912144,0.7681818181818182,0.001874768088797496
synthetic_niah_86,niah_single_1,0,20,2,0.9988382778569517,0.9994778071765842,0.65,0.0006395293196325147
synthetic_niah_86,niah_single_1,0,20,3,0.9957364117373753,0.9968527021276249,0.759090909090909,0.0011162903902496302
synthetic_niah_86,niah_single_1,0,20,4,0.9988819431570171,0.9993279914807744,0.740909090909091,0.00044604832375738646
synthetic_niah_86,niah_single_1,0,20,5,0.9978502522879259,0.9988943656962274,0.6863636363636364,0.0010441134083014614
synthetic_niah_86,niah_single_1,0,20,6,0.999810825529649,0.9999494605867626,0.6227272727272727,0.0001386350571136452
