rule,held_out_sample,threshold,alert_rate,auc,precision,recall,benefit_alerted,benefit_nonalerted,lift_positive
rankprod:churn_jaccard_mean*churn_jaccard_min,gov_report:97,0.3496000251952633,0.0,,,,,-0.00864066056740725,False
rankprod:churn_jaccard_mean*churn_jaccard_min,gov_report:98,0.3356638951877048,0.8125,0.5218579234972678,0.04807692307692308,0.8333333333333334,0.0006741502669483603,0.0038323144155949693,False
rankprod:churn_jaccard_mean*churn_jaccard_min,synthetic_niah_96,0.3496000251952633,0.0,,,,,-0.006247143161698962,False
and:churn_jaccard_mean&churn_x_1minus_margin,gov_report:96,0.5793650793650794,0.0,0.5504032258064516,,0.0,,0.0024286358683844253,False
and:churn_jaccard_mean&churn_x_1minus_margin,gov_report:97,0.5555555555555556,0.4453125,,0.0,,-0.011517131379204248,-0.006331381183288532,False
and:churn_jaccard_mean&churn_x_1minus_margin,gov_report:98,0.5555555555555556,0.4453125,0.6612021857923498,0.08771929824561403,0.8333333333333334,0.004126909938028933,-0.0010302351088836668,True
and:churn_jaccard_mean&churn_x_1minus_margin,synthetic_niah_96,0.5793650793650794,0.0,,,,,-0.006247143161698962,False
rankprod:churn_jaccard_mean*churn_x_1minus_margin,gov_report:96,0.3402769489862222,0.3828125,0.5544354838709677,0.04081632653061224,0.5,0.005597166756098516,0.0004633445582832795,True
rankprod:churn_jaccard_mean*churn_x_1minus_margin,gov_report:97,0.5429178767023378,0.0625,,0.0,,-0.003336646672909893,-0.008994261493707073,True
rankprod:churn_jaccard_mean*churn_x_1minus_margin,gov_report:98,0.39165871026773286,0.3359375,0.6092896174863388,0.06976744186046512,0.5,-0.0047827309018080005,0.00432640708840768,False
