strategy,horizon,task,scope,metric,mean,median,q10,q25,q75,q90,cluster_bootstrap_mean_ci_low,cluster_bootstrap_mean_ci_high,n_rows,n_samples
v_ridge_leverage,4,reasoning_long_generation,task,attention_output_error_mean,0.17763596953708558,0.15988988658258071,0.1398108834711214,0.14833559130784124,0.18902690822142176,0.23568597872047878,0.16540968641873205,0.19049066804311426,15,5
v_ridge_leverage,4,reasoning_long_generation,task,oracle_overlap,0.4496806686458188,0.45661031925950074,0.3896343406166522,0.43718497426606473,0.4761953248787005,0.48569219668313224,0.4295124920829727,0.4694904166742303,15,5
v_ridge_leverage,16,gov_report,task,avg_delta_nll,0.8915409836602207,0.8827596973263929,0.45709939708354985,0.7002256843061947,1.0786856632689155,1.373838438711437,0.7003510177382376,1.0827309495822037,15,5
v_ridge_leverage,16,gov_report,task,max_delta_nll,4.872568769121817,4.409212507562586,2.7367543249491604,3.5118703152903645,5.748304790202916,7.950811384434561,3.913489710089956,5.952976351747799,15,5
v_ridge_leverage,16,gov_report,task,avg_approx_kl,0.7480032432797077,0.721221734167355,0.4133858081918412,0.6555502335535256,0.9006169655803757,0.9319552339206485,0.5960797709143151,0.8670102368414337,15,5
v_ridge_leverage,16,gov_report,task,attention_output_error_mean,0.4270284375025907,0.4207959006889723,0.3533790610251041,0.3758055337025704,0.4888235508115031,0.5020837679000881,0.3874117906754407,0.4664277927813631,15,5
v_ridge_leverage,16,gov_report,task,oracle_overlap,0.13895878733895717,0.13540542699075556,0.10902121710652189,0.11622577347681129,0.1587583851436666,0.17016689627556406,0.11916131211273341,0.15906115573919877,15,5
v_ridge_leverage,16,niah_single_1,task,avg_delta_nll,0.0223436641155339,-0.004434528277247773,-0.029561554426562255,-0.023708504555562837,0.004017600455289316,0.013616626960975427,-0.02241581344550596,0.09505049536208361,15,5
v_ridge_leverage,16,niah_single_1,task,max_delta_nll,0.41036385085857624,0.060060683667035875,0.0341455111481217,0.03929945302539295,0.1665523141887295,0.24999309206472017,0.0746950728142113,1.033107438443401,15,5
v_ridge_leverage,16,niah_single_1,task,avg_approx_kl,0.04536505218460915,0.004483014719216456,0.0003782736250303673,0.0018987573433967872,0.01392776831534891,0.11017940089438916,0.005898469705948075,0.10236762501801824,15,5
v_ridge_leverage,16,niah_single_1,task,attention_output_error_mean,0.11136867569461419,0.10372477151880352,0.08700921866159965,0.09866370909852169,0.11447192897321656,0.14596850449095955,0.10199301372488967,0.12126628198491697,15,5
v_ridge_leverage,16,niah_single_1,task,oracle_overlap,0.5036667073648433,0.47998136386170925,0.4248422026516688,0.4494815601560419,0.5656577735162718,0.607052701561401,0.4917840630007113,0.5165343574755772,15,5
v_ridge_leverage,16,reasoning_long_generation,task,avg_delta_nll,0.039506666394730196,0.021988846243380378,-0.004374656563159984,0.004369235911815372,0.03197273937369538,0.12156413330147826,0.007864096997713288,0.08273449326760697,15,5
v_ridge_leverage,16,reasoning_long_generation,task,max_delta_nll,0.4373401371154479,0.2914114050927914,0.0744029072808381,0.15611974491886116,0.5700341380182614,0.8516940804284082,0.22177209637182263,0.709328993713222,15,5
v_ridge_leverage,16,reasoning_long_generation,task,avg_approx_kl,0.03816155053937588,0.01808562107292927,0.008638122882983023,0.013383353056336974,0.04255026987158309,0.06535549752125325,0.01799383537718075,0.06706437672538113,15,5
v_ridge_leverage,16,reasoning_long_generation,task,attention_output_error_mean,0.19216089337635872,0.17124267532601797,0.1327358249788328,0.14270326671248768,0.22556865809967044,0.2654912042194193,0.17749576673481077,0.21647536865945904,15,5
v_ridge_leverage,16,reasoning_long_generation,task,oracle_overlap,0.44995388528944635,0.45339002055031313,0.4050133906552338,0.43524232497395465,0.4674372665735191,0.48580171011991957,0.4349581858446677,0.46556697269006186,15,5
v_ridge_leverage,64,gov_report,task,avg_delta_nll,1.1269875763835897,1.0591610312288608,0.7279038690924908,0.9369333274573249,1.3785510998608708,1.5503641999171909,0.8995037360925997,1.354471416674579,15,5
