gamma,task,layer,history_id,candidate_source,row_count,median_cosine,median_relative_l2,median_residual_norm,row_pass_fraction
0.125,niah_single_1,0,H1,old_stale_core,4,0.9999084802779268,0.014116539686897384,0.016051757900314136,1.0
0.125,niah_single_1,0,H1,random_reference,4,0.999810888423287,0.019460623645840277,0.02115072801771776,1.0
0.125,niah_single_1,0,H1,snapkv,4,0.9999199947951843,0.013161464982157613,0.01329093124943984,1.0
0.125,niah_single_1,0,H1,v_ridge,4,0.9999184121566218,0.013054882395256252,0.014061189790597823,1.0
0.125,niah_single_1,0,H2,aor,4,0.999949632915629,0.010902236697183583,0.01248327728655169,1.0
0.125,niah_single_1,0,H2,aov,4,0.9999504372819716,0.01064065762848044,0.012213821201404615,1.0
0.125,niah_single_1,0,H2,attention_only,4,0.9999551478382211,0.01043802572869438,0.011864277094392549,1.0
0.125,niah_single_1,0,H2,fresh_core,4,0.9999431308251574,0.011636846368100837,0.010279197780541595,1.0
0.125,niah_single_1,0,H2,old_stale_core,4,0.9999084802779268,0.014116539686897384,0.016051757900314136,1.0
0.125,niah_single_1,0,H2,random_reference,4,0.999810888423287,0.019460623645840277,0.02115072801771776,1.0
0.125,niah_single_1,0,H2,snapkv,4,0.9999199947951843,0.013161464982157613,0.01329093124943984,1.0
0.125,niah_single_1,0,H2,v_ridge,4,0.9999184121566218,0.013054882395256252,0.014061189790597823,1.0
0.125,niah_single_1,0,H3,aor,4,0.9999368771544705,0.011604578800834413,0.012713003151868778,1.0
0.125,niah_single_1,0,H3,aov,4,0.9999356570277538,0.01169814478670438,0.012733151678085603,1.0
0.125,niah_single_1,0,H3,attention_only,4,0.9999448814475596,0.010756306769115612,0.01197133069917388,1.0
0.125,niah_single_1,0,H3,fresh_core,4,0.9999236824102051,0.012884079352723649,0.011840182631853345,1.0
0.125,niah_single_1,0,H3,old_stale_core,4,0.9998617370537711,0.017171170230905974,0.017847110357061692,1.0
0.125,niah_single_1,0,H3,random_reference,4,0.9997477786881265,0.022443102824544574,0.023823345400861298,1.0
0.125,niah_single_1,0,H3,snapkv,4,0.9998875638730118,0.014939957077866235,0.014724563341537949,1.0
0.125,niah_single_1,0,H3,v_ridge,4,0.9998851961012004,0.015310903165418078,0.015615674213603641,1.0
0.125,niah_single_1,14,H1,aor,4,0.9999636728237289,0.008465741882750831,0.0009112952666136019,1.0
0.125,niah_single_1,14,H1,aov,4,0.9999750595032747,0.007087235319326903,0.0007835678527990687,1.0
0.125,niah_single_1,14,H1,attention_only,4,0.9999861672109297,0.005246383156959341,0.0008383374328386999,1.0
0.125,niah_single_1,14,H1,fresh_core,4,0.999988972568997,0.0048461830969523945,0.0009748119077422901,1.0
0.125,niah_single_1,14,H1,old_stale_core,4,0.9999888783805477,0.004526135990432123,0.0069174909519814625,1.0
0.125,niah_single_1,14,H1,random_reference,4,0.9999860922218659,0.005801669169526342,0.008543123002423176,1.0
0.125,niah_single_1,14,H1,snapkv,4,0.9999964974935318,0.0026836288379109806,0.0015708494960603575,1.0
0.125,niah_single_1,14,H1,v_ridge,4,0.9999941786332045,0.0034161739434109967,0.0012671741703867065,1.0
0.125,niah_single_1,14,H2,aor,4,0.9999719961850746,0.0075240220192842695,0.0007854016679021518,1.0
0.125,niah_single_1,14,H2,aov,4,0.9999794068858028,0.0064254387694803695,0.0007382484412678521,1.0
0.125,niah_single_1,14,H2,attention_only,4,0.9999893829420595,0.004699723213932284,0.0007964522834414561,1.0
0.125,niah_single_1,14,H2,fresh_core,4,0.9999926257536499,0.003955521939540416,0.000832899480041108,1.0
0.125,niah_single_1,14,H2,old_stale_core,4,0.9999865901659685,0.004805349732582629,0.007678296246543001,1.0
0.125,niah_single_1,14,H2,random_reference,4,0.9999848028454059,0.006004285904529371,0.009071446508765086,1.0
0.125,niah_single_1,14,H2,snapkv,4,0.9999964425994563,0.0027770765589119097,0.0016601230631317643,1.0
0.125,niah_single_1,14,H2,v_ridge,4,0.999993667302747,0.0034948018160657875,0.0012861631029237892,1.0
0.125,niah_single_1,14,H3,aor,4,0.999972409340036,0.007352959254208339,0.0008550175148153937,1.0
0.125,niah_single_1,14,H3,aov,4,0.9999768008936755,0.006812719298948726,0.0007588265807843845,1.0
0.125,niah_single_1,14,H3,attention_only,4,0.9999892253328939,0.004661035740247357,0.0008366206272415232,1.0
0.125,niah_single_1,14,H3,fresh_core,4,0.9999915979819164,0.004217349269722263,0.0009519819213028601,1.0
0.125,niah_single_1,14,H3,old_stale_core,4,0.9999838726139616,0.005232354576442354,0.008771992528593219,1.0
