method,layer,evaluation_units,mean_projected_relative_error,median_projected_relative_error,p95_projected_relative_error,maximum_projected_relative_error,mean_deleted_attention_mass,mean_relative_error_reduction,win_rate_vs_baseline
contribution_mean_plus_std_w16,0,32,0.05864267050416655,0.054253763599595106,0.1284844924307225,0.18488526401114924,0.14353021375400965,0.003585963128320109,0.6875
contribution_mean_plus_std_w16,14,32,0.24006412366762447,0.0895897389798444,0.8481146599110923,0.8903556762372435,0.11941396541993257,-0.11388107725670799,0.1875
contribution_mean_plus_std_w16,27,32,0.08151436695747213,0.0487067119094061,0.1965019393102425,0.21784935975228886,0.2157299921912526,0.04566137567745639,0.59375
contribution_mean_plus_std_w4,-1,96,0.1053248456197798,0.050474741006429485,0.2551805631022717,0.8627060709605708,0.1475917472441021,-0.00012903806033589169,0.6041666666666666
contribution_mean_plus_std_w4,0,32,0.057827620273898685,0.05050423453394984,0.12550261086567932,0.1746876646885476,0.14330756563673586,0.004401013358587977,0.8125
contribution_mean_plus_std_w4,14,32,0.1769531457594165,0.08356563899032363,0.7540757181273104,0.8627060709605708,0.08801753693709578,-0.050770099348500006,0.28125
contribution_mean_plus_std_w4,27,32,0.08119377082602419,0.04446504702959567,0.21354419732744528,0.2400554680037474,0.21145013915847463,0.04598197180890434,0.71875
contribution_mean_plus_std_w8,-1,96,0.12367361084243078,0.05125631866424137,0.45370122282305747,0.9068688134694715,0.1589131385425311,-0.01847780328298688,0.46875
contribution_mean_plus_std_w8,0,32,0.05794589998510684,0.050752877168276436,0.12806806501807838,0.1805680730011033,0.14797817914691358,0.004282733647379822,0.75
contribution_mean_plus_std_w8,14,32,0.22922692966735309,0.1229122117378823,0.841287287323534,0.9068688134694715,0.11571018538409096,-0.1030438832564366,0.125
contribution_mean_plus_std_w8,27,32,0.0838480028748324,0.044620398006974815,0.22046899584169818,0.2626447191206252,0.21305105109658878,0.043327739760096115,0.53125
contribution_mean_w1,-1,96,0.0957257139053123,0.05355650090237161,0.2609625011920967,0.8480655383997399,0.14225254659640177,0.009470093654131565,0.71875
contribution_mean_w1,0,32,0.05929823454327417,0.05320391213293599,0.12765966008851723,0.1783226251158184,0.1503533951635626,0.0029303990892124827,0.78125
contribution_mean_w1,14,32,0.12316843360674702,0.07849139180763064,0.3149404255881318,0.8480655383997399,0.06334838224763283,0.0030146128041694652,0.59375
contribution_mean_w1,27,32,0.10471047356591578,0.05873034424375286,0.3053904759770468,0.4530891250937298,0.21305586237800989,0.02246526906901275,0.78125
contribution_mean_w16,-1,96,0.11499387008907469,0.05084632672336034,0.4439685595369509,0.8640461578016655,0.15133225219506272,-0.009798062529630803,0.5208333333333334
contribution_mean_w16,0,32,0.05611912369072811,0.05084632672336034,0.12376514516927883,0.18859943015708205,0.14135300653630795,0.006109509941758558,0.8125
contribution_mean_w16,14,32,0.20861042018467002,0.08655113367628561,0.7770570898073808,0.8640461578016655,0.10247196215525453,-0.08242737377375352,0.15625
contribution_mean_w16,27,32,0.08025206639182597,0.047643181551600355,0.19267506398675638,0.21245227742883893,0.21017178789362573,0.046923676243102556,0.59375
contribution_mean_w4,-1,96,0.0993974638086712,0.051692156225962585,0.25350583650899833,0.8597397580303806,0.1436016035794616,0.0057983437507726976,0.65625
contribution_mean_w4,0,32,0.055995696696646155,0.049687446093020546,0.12324949506799193,0.18028368566715228,0.14131221483523315,0.0062329369358405055,0.875
contribution_mean_w4,14,32,0.1605860180892783,0.08047661090540047,0.7267639216987303,0.8597397580303806,0.0812795049640525,-0.034402971678361795,0.34375
contribution_mean_w4,27,32,0.08161067664008914,0.04778474268020226,0.21205729718196722,0.23639752367831307,0.20821309093909918,0.045565065994839386,0.75
contribution_mean_w8,-1,96,0.11548815374874337,0.05387126146637147,0.4467285109961746,0.8656724656681969,0.15173258757989197,-0.01029234618929945,0.4895833333333333
contribution_mean_w8,0,32,0.05666779680944595,0.05075943005929949,0.12568391406571405,0.18506412741502118,0.1420535709796159,0.005560836823040724,0.78125
contribution_mean_w8,14,32,0.2028710834180214,0.08347562589948901,0.768192318374489,0.8656724656681969,0.10251058421155074,-0.07668803700710493,0.21875
contribution_mean_w8,27,32,0.08692558101876269,0.05167014347770686,0.2215291888457355,0.25699167509149157,0.21063360754850924,0.04025016161616585,0.46875
contribution_q75_w1,-1,96,0.0957257139053123,0.05355650090237161,0.2609625011920967,0.8480655383997399,0.14225254659640177,0.009470093654131565,0.71875
contribution_q75_w1,0,32,0.05929823454327417,0.05320391213293599,0.12765966008851723,0.1783226251158184,0.1503533951635626,0.0029303990892124827,0.78125
contribution_q75_w1,14,32,0.12316843360674702,0.07849139180763064,0.3149404255881318,0.8480655383997399,0.06334838224763283,0.0030146128041694652,0.59375
contribution_q75_w1,27,32,0.10471047356591578,0.05873034424375286,0.3053904759770468,0.4530891250937298,0.21305586237800989,0.02246526906901275,0.78125
contribution_q75_w16,-1,96,0.10230131594801706,0.05106758692968823,0.30760068582313943,0.8630954133326006,0.143199581224281,0.0028944916114268422,0.6041666666666666
contribution_q75_w16,0,32,0.05512063485917361,0.048677524893807736,0.12166218115931458,0.18012518292640614,0.14332103486067344,0.00710799877331305,0.875
contribution_q75_w16,14,32,0.1722715839396882,0.08327174433259754,0.7114086476666299,0.8630954133326006,0.07983928506198287,-0.04608853752877173,0.28125
contribution_q75_w16,27,32,0.07951172904518933,0.04844543031600097,0.18955318719420364,0.21636353027306124,0.20643842375018664,0.0476640135897392,0.65625
contribution_q75_w4,-1,96,0.104130041662997,0.05072273936690762,0.2484418610267118,0.8626811288426399,0.14675197530754616,0.0010657658964468737,0.625
contribution_q75_w4,0,32,0.05633165160423666,0.04969523068728665,0.12468910396580977,0.17872568407262932,0.1412626601877477,0.005896982028250004,0.875
contribution_q75_w4,14,32,0.17397809758046,0.08006145752686342,0.7382026148696224,0.8626811288426399,0.08655780465046553,-0.04779505116954352,0.3125
contribution_q75_w4,27,32,0.08208037580429439,0.048411537379188574,0.20953748832920255,0.23493361105231375,0.21243546108442535,0.04509536683063414,0.6875
contribution_q75_w8,-1,96,0.1128474090725536,0.0512995038156821,0.441509883219376,0.8621310120317506,0.15200960916856707,-0.007651601513109705,0.53125
contribution_q75_w8,0,32,0.05682312568923134,0.049900502450509504,0.1289953417589273,0.18788415914843853,0.14552142978727844,0.005405507943255312,0.8125
contribution_q75_w8,14,32,0.19736521398667717,0.0809944948633229,0.7691754331359608,0.8621310120317506,0.09962289396150059,-0.0711821675757607,0.25
contribution_q75_w8,27,32,0.08435388754175224,0.048014322260523205,0.21271333898075712,0.24097981265946167,0.21088450375692216,0.042821855093176285,0.53125
random,-1,96,0.37116254077169586,0.18780967223462108,0.9825102986711313,1.0724400404950931,0.4243045260667954,-0.265966733212252,0.0625
random,0,32,0.07980396704564763,0.07729583825749547,0.1522224122060313,0.1925592702440689,0.23006662164881148,-0.017575333413160976,0.09375
random,14,32,0.8000475110288414,0.8319168916469805,1.0132796113351232,1.0724400404950931,0.4211312142310992,-0.6738644646179248,0.0
random,27,32,0.2336361442405987,0.18201789015695824,0.46473733250708166,0.4897709419232598,0.6217157423204756,-0.10646040160567016,0.09375
value_norm,-1,96,0.3979122569340636,0.2449764863884179,0.9956297089553532,1.1005234148345469,0.43279624870612105,-0.2927164493746197,0.041666666666666664
value_norm,0,32,0.08816004289201092,0.08354032219883797,0.18646227353200875,0.24525137883821432,0.2412252250466959,-0.025931409259524262,0.03125
value_norm,14,32,0.8569279064864618,0.8820169505948036,1.0244244485703609,1.1005234148345469,0.44667980364999493,-0.7307448600755453,0.0
value_norm,27,32,0.24864882142371825,0.21593285829634495,0.4263974187912804,0.5154589995529452,0.6104837174216724,-0.12147307878878973,0.09375
