comparison,split,task,projection_dimension,projection_seed,decay,decision_units,sequences,median_spearman_gain,mean_pairwise_accuracy_gain,mean_top1_accuracy_gain,mean_normalized_regret_gain
reference_state_vs_action,evaluation,all,16,42,0.8,744,8,-0.12521739130434778,-0.06825132460651394,-0.051075268817204304,-0.11353559714005937
reference_state_vs_action,evaluation,all,16,42,0.95,744,8,-0.12521739130434778,-0.06825132460651394,-0.051075268817204304,-0.11353559714005937
reference_state_vs_action,evaluation,all,16,42,1.0,744,8,-0.12521739130434778,-0.06825132460651394,-0.051075268817204304,-0.11353559714005937
reference_state_vs_action,evaluation,all,32,42,0.5,744,8,-0.11260869565217389,-0.06516869253545271,-0.053763440860215055,-0.12292843010002959
reference_state_vs_action,evaluation,all,32,42,0.8,744,8,-0.11260869565217389,-0.06516869253545271,-0.053763440860215055,-0.12292843010002959
reference_state_vs_action,evaluation,all,32,42,0.95,744,8,-0.11260869565217389,-0.06516869253545271,-0.053763440860215055,-0.12292843010002959
reference_state_vs_action,evaluation,all,32,42,1.0,744,8,-0.11260869565217389,-0.06516869253545271,-0.053763440860215055,-0.12292843010002959
reference_state_vs_action,evaluation,all,64,42,0.5,744,8,-0.042565160598214455,-0.03940704378993299,-0.04973118279569892,-0.06796437766824992
reference_state_vs_action,evaluation,all,64,42,0.8,744,8,-0.042565160598214455,-0.03940704378993299,-0.04973118279569892,-0.06796437766824992
reference_state_vs_action,evaluation,all,64,42,0.95,744,8,-0.042565160598214455,-0.03940704378993299,-0.04973118279569892,-0.06796437766824992
reference_state_vs_action,evaluation,all,64,42,1.0,744,8,-0.042565160598214455,-0.03940704378993299,-0.04973118279569892,-0.06796437766824992
reference_state_vs_action,evaluation,all,128,42,0.5,744,8,-0.04086956521739127,-0.032399290945924884,-0.028225806451612902,-0.0638421662872782
reference_state_vs_action,evaluation,all,128,42,0.8,744,8,-0.04086956521739127,-0.032399290945924884,-0.028225806451612902,-0.0638421662872782
reference_state_vs_action,evaluation,all,128,42,0.95,744,8,-0.04086956521739127,-0.032399290945924884,-0.028225806451612902,-0.0638421662872782
reference_state_vs_action,evaluation,all,128,42,1.0,744,8,-0.04086956521739127,-0.032399290945924884,-0.028225806451612902,-0.0638421662872782
reference_state_vs_action,evaluation,gov_report,16,42,0.5,372,4,-0.11989961282408998,-0.06320126227208976,-0.05913978494623656,-0.12915044986968532
reference_state_vs_action,evaluation,gov_report,16,42,0.8,372,4,-0.11989961282408998,-0.06320126227208976,-0.05913978494623656,-0.12915044986968532
reference_state_vs_action,evaluation,gov_report,16,42,0.95,372,4,-0.11989961282408998,-0.06320126227208976,-0.05913978494623656,-0.12915044986968532
reference_state_vs_action,evaluation,gov_report,16,42,1.0,372,4,-0.11989961282408998,-0.06320126227208976,-0.05913978494623656,-0.12915044986968532
reference_state_vs_action,evaluation,gov_report,32,42,0.5,372,4,-0.09956521739130433,-0.05574061087735702,-0.043010752688172046,-0.14263908880638476
reference_state_vs_action,evaluation,gov_report,32,42,0.8,372,4,-0.09956521739130433,-0.05574061087735702,-0.043010752688172046,-0.14263908880638476
reference_state_vs_action,evaluation,gov_report,32,42,0.95,372,4,-0.09956521739130433,-0.05574061087735702,-0.043010752688172046,-0.14263908880638476
reference_state_vs_action,evaluation,gov_report,32,42,1.0,372,4,-0.09956521739130433,-0.05574061087735702,-0.043010752688172046,-0.14263908880638476
reference_state_vs_action,evaluation,gov_report,64,42,0.5,372,4,-0.10966316993842476,-0.055312061711079934,-0.06720430107526881,-0.09773509465297948
reference_state_vs_action,evaluation,gov_report,64,42,0.8,372,4,-0.10966316993842476,-0.055312061711079934,-0.06720430107526881,-0.09773509465297948
reference_state_vs_action,evaluation,gov_report,64,42,0.95,372,4,-0.10966316993842476,-0.055312061711079934,-0.06720430107526881,-0.09773509465297948
